,Player,G,Rush.Att,Rush.Yds,Rush.Avg,Rush.TD,Rec.Rec,Rec.Yds,Rec.Avg,Rec.TD,Scrim.Plays,Scrim.Yds,Scrim.Avg,Scrim.TD
Michigan,Blake Corum,15,258,1245,4.8,27,16,117,7.3,1,274,1362,5,28
Michigan,Donovan Edwards,15,119,497,4.2,5,30,249,8.3,0,149,746,5,5
Michigan,J.J. McCarthy,15,64,202,3.2,3,,,,,64,202,3.2,3
Michigan,Kalel Mullings,13,36,222,6.2,1,2,32,16,0,38,254,6.7,1
Michigan,Alex Orji,6,15,86,5.7,1,,,,,15,86,5.7,1
Michigan,Benjamin Hall,3,15,69,4.6,0,1,0,0,0,16,69,4.3,0
Michigan,Leon Franklin,14,11,33,3,1,1,6,6,0,12,39,3.3,1
Michigan,Tavierre Dunlap,10,5,21,4.2,0,,,,,5,21,4.2,0
Michigan,Semaj Morgan,15,4,67,16.8,2,22,204,9.3,2,26,271,10.4,4
Michigan,Jack Tuttle,6,4,35,8.8,0,,,,,4,35,8.8,0
Michigan,Jayden Denegal,6,4,10,2.5,0,,,,,4,10,2.5,0
Michigan,C.J. Stokes,2,4,8,2,0,,,,,4,8,2,0
Michigan,Cornelius Johnson,15,3,40,13.3,0,47,604,12.9,1,50,644,12.9,1
Michigan,Danny Hughes,12,2,8,4,0,,,,,2,8,4,0
Michigan,Cole Cabana,1,2,6,3,0,,,,,2,6,3,0
Michigan,Davis Warren,3,2,-4,-2,0,,,,,2,-4,-2,0
Michigan,Roman Wilson,15,1,10,10,0,48,789,16.4,12,49,799,16.3,12
Michigan,Henry Donohue,4,1,3,3,0,,,,,1,3,3,0
Michigan,Colston Loveland,15,,,,,45,649,14.4,4,45,649,14.4,4
Michigan,AJ Barner,15,,,,,22,249,11.3,1,22,249,11.3,1
Michigan,Tyler Morris,15,,,,,13,197,15.2,1,13,197,15.2,1
Michigan,Frederick Moore,13,,,,,4,32,8,0,4,32,8,0
Michigan,Darrius Clemons,11,,,,,3,33,11,0,3,33,11,0
Michigan,Max Bredeson,15,,,,,2,19,9.5,0,2,19,9.5,0
Michigan,Peyton O'Leary,9,,,,,2,13,6.5,1,2,13,6.5,1
Michigan,Marlin Klein,10,,,,,1,8,8,0,1,8,8,0
Michigan,Karmello English,6,,,,,1,4,4,1,1,4,4,1
Washington,Dillon Johnson,14,233,1195,5.1,16,24,190,7.9,0,257,1385,5.4,16
Washington,Tybo Rogers,12,44,184,4.2,0,6,72,12,0,50,256,5.1,0
Washington,Michael Penix Jr.,15,35,8,0.2,3,,,,,35,8,0.2,3
Washington,Will Nixon,15,33,201,6.1,1,13,84,6.5,0,46,285,6.2,1
Washington,Germie Bernard,14,13,43,3.3,2,34,419,12.3,2,47,462,9.8,4
Washington,Sam Adams II,10,10,23,2.3,1,2,16,8,0,12,39,3.3,1
Washington,Daniyel Ngata,10,7,23,3.3,1,,,,,7,23,3.3,1
Washington,Richard Newton,13,5,30,6,0,,,,,5,30,6,0
Washington,Ja'lynn Polk,15,4,32,8,1,69,1159,16.8,9,73,1191,16.3,10
Washington,Jalen McMillan,11,3,30,10,1,45,559,12.4,5,48,589,12.3,6
Washington,Rome Odunze,15,2,37,18.5,1,92,1640,17.8,13,94,1677,17.8,14
Washington,Jack Westover,15,1,1,1,1,46,433,9.4,4,47,434,9.2,5
Washington,Dylan Morris,4,1,-5,-5,0,,,,,1,-5,-5,0
Washington,Devin Culp,15,,,,,16,208,13,2,16,208,13,2
Washington,Giles Jackson,7,,,,,14,106,7.6,1,14,106,7.6,1
Washington,Denzel Boston,14,,,,,5,51,10.2,0,5,51,10.2,0
Washington,Josh Cuevas,15,,,,,4,164,41,1,4,164,41,1
Washington,Rashid Williams,2,,,,,2,30,15,0,2,30,15,0
Washington,Quentin Moore,14,,,,,2,10,5,1,2,10,5,1
Washington,Camden Sirmon,6,,,,,1,8,8,0,1,8,8,0
Washington,Mason Wheeler,2,,,,,1,6,6,0,1,6,6,0
UT,Jonathon Brooks,11,187,1139,6.1,10,25,286,11.4,1,212,1425,6.7,11
UT,CJ Baxter,13,138,659,4.8,5,24,156,6.5,0,162,815,5,5
UT,Jaydon Blue,14,65,398,6.1,3,14,135,9.6,1,79,533,6.7,4
UT,Quinn Ewers,12,59,75,1.3,5,1,3,3,0,60,78,1.3,5
UT,Savion Red,12,30,131,4.4,1,,,,,30,131,4.4,1
UT,Keilan Robinson,13,12,134,11.2,3,8,56,7,0,20,190,9.5,3
UT,Tre Wisner,14,12,73,6.1,1,,,,,12,73,6.1,1
UT,Xavier Worthy,14,4,35,8.8,0,75,1014,13.5,5,79,1049,13.3,5
UT,Jordan Whittington,14,3,18,6,0,42,505,12,1,45,523,11.6,1
UT,Arch Manning,2,3,7,2.3,0,,,,,3,7,2.3,0
UT,Adonai Mitchell,14,2,1,0.5,0,55,845,15.4,11,57,846,14.8,11
UT,Ja'Tavion Sanders,14,1,12,12,0,45,682,15.2,2,46,694,15.1,2
UT,Byron Murphy II,14,1,1,1,1,1,1,1,1,2,2,1,2
UT,Maalik Murphy,7,1,-18,-18,0,,,,,1,-18,-18,0
UT,Gunnar Helm,14,,,,,14,192,13.7,2,14,192,13.7,2
UT,Johntay Cook II,14,,,,,8,136,17,0,8,136,17,0
UT,Isaiah Neyor,1,,,,,1,14,14,0,1,14,14,0
UT,Casey Cain,7,,,,,1,13,13,0,1,13,13,0
UT,Malik Agbo,14,,,,,1,6,6,0,1,6,6,0
UT,T'vondre Sweat,14,,,,,1,2,2,1,1,2,2,1
UT,Bert Auburn,14,,,,,1,1,1,0,1,1,1,0
Georgia,Daijun Edwards,12,165,880,5.3,13,20,197,9.9,0,185,1077,5.8,13
Georgia,Kendall Milton,13,121,790,6.5,14,4,25,6.3,0,125,815,6.5,14
Georgia,Carson Beck,14,59,117,2,4,,,,,59,117,2,4
Georgia,Andrew Paul,7,29,129,4.4,1,2,14,7,1,31,143,4.6,2
Georgia,Dillon Bell,14,25,157,6.3,2,29,355,12.2,2,54,512,9.5,4
Georgia,Roderick Robinson II,5,24,196,8.2,2,,,,,24,196,8.2,2
Georgia,Cash Jones,14,22,161,7.3,1,11,92,8.4,1,33,253,7.7,2
Georgia,Gunner Stockton,4,11,63,5.7,0,,,,,11,63,5.7,0
Georgia,Sevaughn Clark,6,8,36,4.5,1,,,,,8,36,4.5,1
Georgia,Brock Bowers,10,6,28,4.7,1,56,714,12.8,6,62,742,12,7
Georgia,Brock Vandagriff,8,5,39,7.8,0,,,,,5,39,7.8,0
Georgia,Ladd McConkey,9,2,38,19,1,30,478,15.9,2,32,516,16.1,3
Georgia,Joseph Daniels,1,2,5,2.5,0,,,,,2,5,2.5,0
Georgia,Arian Smith,14,1,33,33,0,8,153,19.1,2,9,186,20.7,2
Georgia,Jackson Muschamp,1,1,14,14,0,,,,,1,14,14,0
Georgia,C.J. Smith,9,1,4,4,0,6,116,19.3,0,7,120,17.1,0
Georgia,Anthony Evans III,8,1,2,2,0,4,35,8.8,1,5,37,7.4,1
Georgia,Mekhi Mews,13,1,-2,-2,0,13,155,11.9,1,14,153,10.9,1
Georgia,Dominic Lovett,14,,,,,54,613,11.4,4,54,613,11.4,4
Georgia,Marcus Rosemy-Jacksaint,13,,,,,34,535,15.7,4,34,535,15.7,4
Georgia,Oscar Delp,14,,,,,24,284,11.8,3,24,284,11.8,3
Georgia,Rara Thomas,11,,,,,23,383,16.7,1,23,383,16.7,1
Georgia,Pearce Spurlin III,6,,,,,3,60,20,0,3,60,20,0
Georgia,Lawson Luckie,7,,,,,2,9,4.5,1,2,9,4.5,1
Georgia,Jackson Meeks,12,,,,,1,23,23,0,1,23,23,0
Georgia,Zeed Haynes,3,,,,,1,20,20,0,1,20,20,0
Georgia,Cole Speer,8,,,,,1,7,7,0,1,7,7,0
Georgia,Tyler Williams,2,,,,,1,4,4,0,1,4,4,0
Georgia,Luke Bennett,1,,,,,1,2,2,0,1,2,2,0
Alabama,Jase McClellan,13,180,890,4.9,8,15,137,9.1,0,195,1027,5.3,8
Alabama,Jalen Milroe,13,161,531,3.3,12,,,,,161,531,3.3,12
Alabama,Roydell Williams,14,111,560,5,5,11,58,5.3,1,122,618,5.1,6
Alabama,Jamarion Miller,14,41,201,4.9,1,4,73,18.3,1,45,274,6.1,2
Alabama,Justice Haynes,13,25,168,6.7,2,,,,,25,168,6.7,2
Alabama,Ty Simpson,6,14,86,6.1,2,,,,,14,86,6.1,2
Alabama,Richard Young,3,9,24,2.7,1,,,,,9,24,2.7,1
Alabama,Tyler Buchner,2,3,20,6.7,1,,,,,3,20,6.7,1
Alabama,Dylan Lonergan,1,1,5,5,0,,,,,1,5,5,0
Alabama,Isaiah Bond,14,1,3,3,0,48,668,13.9,4,49,671,13.7,4
Alabama,Jermaine Burton,13,,,,,39,798,20.5,8,39,798,20.5,8
Alabama,Amari Niblack,14,,,,,20,327,16.4,4,20,327,16.4,4
Alabama,Kobe Prentice,13,,,,,18,314,17.4,2,18,314,17.4,2
Alabama,Kendrick Law,13,,,,,15,135,9,0,15,135,9,0
Alabama,Malik Benson,14,,,,,13,162,12.5,1,13,162,12.5,1
Alabama,CJ Dippre,14,,,,,11,187,17,0,11,187,17,0
Alabama,Jalen Hale,13,,,,,5,148,29.6,1,5,148,29.6,1
Alabama,Robbie Ouzts,14,,,,,3,33,11,1,3,33,11,1
Alabama,Ja'Corey Brooks,9,,,,,3,30,10,0,3,30,10,0
Alabama,Cole Adams,2,,,,,2,11,5.5,0,2,11,5.5,0
Alabama,Danny Lewis,14,,,,,1,5,5,0,1,5,5,0